Timestamp,415nm_filtered,415nm_peak,445nm_filtered,445nm_peak,480nm_filtered,480nm_peak,515nm_filtered,515nm_peak,555nm_filtered,555nm_peak,590nm_filtered,590nm_peak,630nm_filtered,630nm_peak,680nm_filtered,680nm_peak,NIR_filtered,NIR_peak,Fused_filtered,Fused_peak
2025-02-22 21:26:35.588,0.6093884900686359,0,0.6537926863923762,0,0.657681182595395,0,0.6228778571035941,0,0.6014567425271039,0,0.5661493618729417,0,,0,0.6229857976810512,0,0.6777642039723698,0,0.61951812247506,0
2025-02-22 21:26:35.656,0.605739929246212,0,0.652634942343879,0,0.6586756686867512,0,0.6268213916459722,0,0.6011376395999519,0,0.5664268889727183,0,,0,0.6215080930729697,0,0.6741927149274943,0,0.6183514489300422,0
2025-02-22 21:26:35.725,0.607392692522656,0,0.6501523397163403,0,0.6622928248361826,0,0.6321729069313601,0,0.6043130384574489,0,0.5709231099225476,0,,0,0.6239611844702844,0,0.6769413266257681,0,0.6197913592428846,0
2025-02-22 21:26:35.793,0.6007184183903943,0,0.6493744411090508,0,0.6604561141979084,0,0.6359737764588621,0,0.6092766057526464,0,0.5743468371418328,0,,0,0.6259007439382608,0,0.6819226461380318,0,0.6228666034883927,0
2025-02-22 21:26:35.862,0.6058681643859205,0,0.6601142207932472,0,0.6663862537275738,0,0.638235494066191,0,0.6141735889283264,0,0.5809803056307307,0,,0,0.6308470518814857,0,0.6880909157866306,0,0.6278210548614833,0
2025-02-22 21:26:35.930,0.6127505058989704,0,0.6561946074398045,0,0.6674798121631551,0,0.6425268877727144,0,0.6214928064851156,0,0.5886937750800635,0,,0,0.6364385355054875,0,0.6934102703472167,0,0.63350509806129,0
2025-02-22 21:26:35.998,0.6236624443469061,0,0.6663944160892662,0,0.6730299890545057,0,0.6518557850868101,0,0.6312679141986377,0,0.6002746956897831,0,,0,0.6437783334856989,0,0.6994015531615138,0,0.6417711646118972,0
2025-02-22 21:26:36.066,0.6332860706457301,0,0.6747729035164473,0,0.6815709959767852,0,0.6654309625757014,0,0.6482069389521349,0,0.6182390818863678,0,,0,0.6551902776891827,0,0.7103372075452763,0,0.6541901883213973,0
2025-02-22 21:26:36.135,0.641772550982817,0,0.6855872331595839,0,0.6946099375107047,0,0.6832080660245997,0,0.66642954546656,0,0.6344456798130081,0,,0,0.6662505283579576,0,0.7204935588474095,0,0.6684762965265094,0
2025-02-22 21:26:36.203,0.6552695147872275,0,0.6983733853511457,0,0.7052813097372321,0,0.6983175845280979,0,0.6822356969207588,0,0.6467893231034333,0,,0,0.6736136590741507,0,0.7321410301781814,0,0.6819309784825851,0
2025-02-22 21:26:36.271,0.6596443885437917,0,0.7100584763485079,0,0.7138731743562552,0,0.7090930609277223,0,0.6914744006858626,0,0.6504007365755263,0,,0,0.6741872151581078,0,0.734458309857412,0,0.6903406305108588,0
2025-02-22 21:26:36.340,0.6521981751596508,0,0.7046972367664305,0,0.7153182315636434,0,0.7079172545623024,0,0.6894286100134918,0,0.6440655387779971,0,,0,0.6686161062025768,0,0.7296464409702518,0,0.6904367722923221,0
2025-02-22 21:26:36.411,0.6596284871069417,0,0.7090774146868273,0,0.7191002925933556,0,0.7050662980580016,0,0.683740537998108,0,0.6358203853271778,0,,0,0.6643666198021967,0,0.7239198543506344,0,0.6880093006716763,0
2025-02-22 21:26:36.480,0.6517094273951053,0,0.7015582831141933,0,0.7161207824116829,0,0.6954927745639569,0,0.6687344443162238,0,0.6184393764382183,0,,0,0.6521762915541424,0,0.713452642360531,0,0.6777347586915521,0
2025-02-22 21:26:36.546,0.6444774632941603,0,0.6944432895683573,0,0.7072259293938689,0,0.6831148057758037,0,0.6556613560498574,0,0.6058387115412036,0,,0,0.6448625660760853,0,0.7066571632867511,0,0.6667335887238317,0
2025-02-22 21:26:36.614,0.6337551341807964,0,0.6859627395573894,0,0.6951108969819548,0,0.672052482665406,0,0.6449295751210775,0,0.6006527524091244,0,,0,0.6427628386296643,0,0.703215870890884,0,0.6584962944662786,0
2025-02-22 21:26:36.683,0.6312663055121188,0,0.6861781718382198,0,0.6874968199210055,0,0.6654579505955526,0,0.6392033469405293,0,0.5993088411336869,0,,0,0.6432547019002121,0,0.702879576011347,0,0.653926560665485,0
2025-02-22 21:26:36.752,0.6247398140733406,0,0.6738385430545523,0,0.6764646874646333,0,0.6557545479460936,0,0.6323655606781367,0,0.59496492176508,0,,0,0.642461566078313,0,0.6968583195459214,0,0.6485651794483421,0
2025-02-22 21:26:36.820,0.6166646494800642,0,0.6638334698126408,0,0.6683473125977091,0,0.6462689619763947,0,0.6223711207463292,0,0.5880056327045596,0,,0,0.6396874607350778,0,0.6906739987287597,0,0.6418846885817544,0
2025-02-22 21:26:36.890,0.6129357410918773,0,0.6592468338785346,0,0.6610366492858634,0,0.6365912020793235,0,0.6145028123194126,0,0.5833471475357658,0,,0,0.639081381845816,0,0.6860251468679336,0,0.6362027552928177,0
2025-02-22 21:26:36.958,0.6143588657007987,0,0.6624635262760393,0,0.6577697707939194,0,0.6283905496007248,0,0.6084336424850864,0,0.5797713077462081,0,,0,0.638081696615218,0,0.6835585949750111,0,0.6318112071524721,0
2025-02-22 21:26:37.026,0.6239687286819959,0,0.6683923897841798,0,0.6587646026502958,0,0.6295829343368252,0,0.6104913339685555,0,0.5858412223549625,0,,0,0.6304109942895391,0,0.6860694202775849,0,0.6326274263261847,0
2025-02-22 21:26:37.095,0.6296736669243533,0,0.6752686477800088,0,0.663873249143943,0,0.6377163341673041,0,0.6165347443546266,0,0.5372060038440218,0,,0,0.588079320221848,0,0.6719000305828997,0,0.6365931389067715,0
2025-02-22 21:26:37.163,0.6102646442314344,0,0.6345257289462621,0,0.6509637072122384,0,0.609383904898477,0,0.5913796272932842,0,0.5057769360138479,0,,0,0.5663094791925939,0,0.6152229414335341,0,0.5825746814398282,0
2025-02-22 21:26:37.232,0.6199465784266484,0,0.6247137394468667,0,0.6676445364196913,0,0.631974527868657,0,0.597825686117158,0,0.5141846064908437,0,,0,0.584373437999641,0,0.6435662796257478,0,0.5739160184611392,0
2025-02-22 21:26:37.300,0.6191309907778515,0,0.5994419216645624,0,0.6307987483580275,0,0.6091824844327387,0,0.5857330843560783,0,0.523540699025791,0,,0,0.5954269787252838,0,0.6308438317370862,0,0.5672878611440005,0
2025-02-22 21:26:37.368,0.6255929722297097,0,0.5899464469840182,0,0.5918465276483098,0,0.5927616641875725,0,0.5725429730950818,0,0.531866619629595,0,,0,0.6064597117820799,0,0.625361404580817,0,0.5676080959080836,0
2025-02-22 21:26:37.437,0.6545010602965426,0,0.6046680014140677,0,0.610886941248047,0,0.6007398778644953,0,0.5936690993321411,0,0.5552694682602369,0,,0,0.6361926941025299,0,0.6730401724953752,0,0.5863599944106571,0
2025-02-22 21:26:37.505,0.6646785862304594,0,0.623222909102203,0,0.6347404350057201,0,0.6195035467277064,0,0.6103353168518293,0,0.5715033530298212,0,,0,0.648147607330504,0,0.6739386264492739,0,0.6025397878420246,0
2025-02-22 21:26:37.573,0.665189365683936,0,0.6427333223191262,0,0.6390578661839383,0,0.6343525396135961,0,0.6281238124408745,0,0.5858163954417612,0,,0,0.6584131857427907,0,0.692889761231767,0,0.6190808924823923,0
