Timestamp,Fused_HR
2025-02-21 09:48:36.212633,74.06
2025-02-21 09:48:36.281681,74.06
2025-02-21 09:48:36.347130,74.06
2025-02-21 09:48:36.418383,74.06
2025-02-21 09:48:36.485791,71.94
2025-02-21 09:48:36.554416,71.94
2025-02-21 09:48:36.623136,71.94
2025-02-21 09:48:36.690044,72.43
2025-02-21 09:48:36.759047,70.80
2025-02-21 09:48:36.825755,70.80
2025-02-21 09:48:36.894398,70.80
2025-02-21 09:48:36.962179,70.80
2025-02-21 09:48:37.030378,70.80
2025-02-21 09:48:37.101291,70.80
2025-02-21 09:48:37.169043,70.80
2025-02-21 09:48:37.235770,70.80
2025-02-21 09:48:37.306833,76.79
2025-02-21 09:48:37.372085,76.79
2025-02-21 09:48:37.444375,76.79
2025-02-21 09:48:37.512262,76.79
2025-02-21 09:48:37.581751,34.33
2025-02-21 09:48:37.649911,73.53
2025-02-21 09:48:37.718306,73.53
2025-02-21 09:48:37.785876,73.53
2025-02-21 09:48:37.853768,73.53
2025-02-21 09:48:37.922097,72.98
2025-02-21 09:48:37.989923,72.98
2025-02-21 09:48:38.058278,72.98
2025-02-21 09:48:38.126772,72.98
2025-02-21 09:48:38.195774,75.07
2025-02-21 09:48:38.264139,75.07
2025-02-21 09:48:38.332549,75.07
2025-02-21 09:48:38.401663,75.07
2025-02-21 09:48:38.469043,75.07
2025-02-21 09:48:38.536655,75.07
2025-02-21 09:48:38.607287,75.07
2025-02-21 09:48:38.675118,75.07
2025-02-21 09:48:38.743736,75.07
2025-02-21 09:48:38.811812,75.07
2025-02-21 09:48:38.880894,75.61
2025-02-21 09:48:38.949185,75.61
2025-02-21 09:48:39.017457,75.61
2025-02-21 09:48:39.085820,75.61
2025-02-21 09:48:39.154278,75.61
2025-02-21 09:48:39.222593,75.61
2025-02-21 09:48:39.291084,75.61
2025-02-21 09:48:39.359149,75.61
2025-02-21 09:48:39.427658,75.61
2025-02-21 09:48:39.495985,75.61
2025-02-21 09:48:39.564348,76.41
2025-02-21 09:48:39.632722,76.41
2025-02-21 09:48:39.700950,75.62
2025-02-21 09:48:39.770186,75.62
2025-02-21 09:48:39.838061,76.17
2025-02-21 09:48:39.906672,76.17
2025-02-21 09:48:39.975057,75.62
2025-02-21 09:48:40.043613,76.17
2025-02-21 09:48:40.112054,75.62
2025-02-21 09:48:40.180593,75.62
2025-02-21 09:48:40.249938,75.62
2025-02-21 09:48:40.319485,75.87
2025-02-21 09:48:40.387780,76.18
2025-02-21 09:48:40.455858,76.18
2025-02-21 09:48:40.524304,75.87
2025-02-21 09:48:40.592329,75.87
2025-02-21 09:48:40.660512,75.87
2025-02-21 09:48:40.729231,73.50
2025-02-21 09:48:40.797575,73.50
2025-02-21 09:48:40.865757,73.50
2025-02-21 09:48:40.935428,72.99
2025-02-21 09:48:41.003704,76.47
2025-02-21 09:48:41.072172,83.42
2025-02-21 09:48:41.140622,75.92
2025-02-21 09:48:41.208926,68.35
2025-02-21 09:48:41.277288,68.35
2025-02-21 09:48:41.346316,71.38
2025-02-21 09:48:41.414567,71.91
2025-02-21 09:48:41.482850,74.56
2025-02-21 09:48:41.551280,71.91
2025-02-21 09:48:41.619603,74.56
2025-02-21 09:48:41.687991,74.56
2025-02-21 09:48:41.756041,74.56
2025-02-21 09:48:41.824150,75.10
2025-02-21 09:48:41.893751,75.10
2025-02-21 09:48:41.962096,75.10
2025-02-21 09:48:42.030804,75.10
2025-02-21 09:48:42.098987,75.10
2025-02-21 09:48:42.167412,75.10
2025-02-21 09:48:42.235864,75.10
2025-02-21 09:48:42.304517,74.57
2025-02-21 09:48:42.372365,71.23
2025-02-21 09:48:42.440450,71.23
2025-02-21 09:48:42.510135,64.44
2025-02-21 09:48:42.578591,31.87
2025-02-21 09:48:42.646985,31.58
2025-02-21 09:48:42.715381,77.33
2025-02-21 09:48:42.782230,41.41
2025-02-21 09:48:42.849709,41.41
2025-02-21 09:48:42.918263,41.41
2025-02-21 09:48:42.986290,38.67
2025-02-21 09:48:43.058036,77.33
2025-02-21 09:48:43.128180,76.77
2025-02-21 09:48:43.194398,77.51
2025-02-21 09:48:43.264311,71.55
2025-02-21 09:48:43.333449,71.07
2025-02-21 09:48:43.401901,70.37
2025-02-21 09:48:43.470876,76.77
2025-02-21 09:48:43.536290,60.44
2025-02-21 09:48:43.815320,16.85
2025-02-21 09:48:43.882161,22.46
2025-02-21 09:48:44.362040,14.86
2025-02-21 09:48:44.430347,19.92
2025-02-21 09:48:44.569973,19.48
2025-02-21 09:48:44.639135,18.64
2025-02-21 09:48:44.706715,19.06
2025-02-21 09:48:44.776329,15.66
2025-02-21 09:48:44.840827,16.38
2025-02-21 09:48:44.908532,16.38
2025-02-21 09:48:44.978765,16.23
2025-02-21 09:48:45.047671,52.31
2025-02-21 09:48:45.116327,71.92
2025-02-21 09:48:45.185174,72.45
2025-02-21 09:48:45.254420,16.38
2025-02-21 09:48:45.321305,16.54
2025-02-21 09:48:45.389047,16.54
2025-02-21 09:48:45.459103,16.85
2025-02-21 09:48:45.526964,16.54
2025-02-21 09:48:45.595462,16.38
2025-02-21 09:48:45.662761,17.52
2025-02-21 09:48:45.731350,17.88
2025-02-21 09:48:45.800509,17.52
2025-02-21 09:48:45.867964,17.52
2025-02-21 09:48:45.937287,17.88
2025-02-21 09:48:46.005853,17.52
2025-02-21 09:48:46.075435,17.52
2025-02-21 09:48:46.145231,17.88
2025-02-21 09:48:46.212518,17.88
2025-02-21 09:48:46.279974,17.88
2025-02-21 09:48:46.348233,17.88
2025-02-21 09:48:46.416747,17.88
2025-02-21 09:48:46.485587,17.88
2025-02-21 09:48:46.551374,17.88
2025-02-21 09:48:46.620632,17.88
2025-02-21 09:48:46.689108,17.88
