Untitled1.acq
Graph Created on: 2025-02-21 11:01:03.020
Recording on: 2025-02-21 11:05:38.634
0.5 msec/sample
1 channels
PPG, X, PPGED-R
Volts
milliSec	CH1	
	85351 samples	
223	0.0567627	
223.5	0.0592041	
224	0.0604248	
224.5	0.0616455	
225	0.0650024	
225.5	0.0653076	
226	0.0683594	
226.5	0.0704956	
227	0.0717163	
227.5	0.0735474	
228	0.0759888	
228.5	0.0765991	
229	0.0787354	
229.5	0.0799561	
230	0.0827026	
230.5	0.085144	
231	0.0857544	
231.5	0.0875854	
232	0.0897217	
232.5	0.0906372	
233	0.0930786	
233.5	0.09552	
234	0.0976563	
234.5	0.100098	
235	0.100098	
235.5	0.102539	
236	0.10437	
236.5	0.105286	
237	0.107727	
237.5	0.109253	
238	0.110168	
238.5	0.112	
239	0.114136	
239.5	0.117188	
240	0.119324	
240.5	0.119629	
241	0.121765	
241.5	0.123596	
242	0.124817	
242.5	0.127563	
243	0.128479	
243.5	0.129395	
244	0.131226	
244.5	0.133972	
245	0.136108	
245.5	0.137939	
246	0.139465	
246.5	0.141296	
247	0.143433	
247.5	0.144043	
248	0.145874	
248.5	0.148926	
249	0.149231	
249.5	0.151367	
250	0.153809	
250.5	0.153809	
251	0.15625	
251.5	0.158386	
252	0.159302	
252.5	0.161438	
253	0.163269	
253.5	0.163879	
254	0.166016	
254.5	0.168152	
255	0.168762	
255.5	0.168457	
256	0.170898	
256.5	0.173035	
257	0.174255	
257.5	0.175781	
258	0.177917	
258.5	0.178223	
259	0.180969	
259.5	0.183411	
260	0.184021	
260.5	0.184021	
261	0.185242	
261.5	0.187988	
262	0.188599	
262.5	0.190125	
263	0.192261	
263.5	0.193481	
264	0.193481	
264.5	0.195313	
265	0.196533	
265.5	0.198669	
266	0.19928	
266.5	0.200195	
267	0.202026	
267.5	0.203857	
268	0.205383	
268.5	0.20752	
269	0.20874	
269.5	0.208435	
270	0.209961	
270.5	0.211792	
271	0.213013	
271.5	0.213623	
272	0.213318	
272.5	0.214844	
273	0.21698	
273.5	0.21759	
274	0.217896	
274.5	0.219727	
275	0.222168	
275.5	0.222778	
276	0.222778	
276.5	0.224609	
277	0.226746	
277.5	0.227661	
278	0.228271	
278.5	0.227966	
279	0.228271	
279.5	0.232239	
280	0.233154	
280.5	0.233459	
281	0.232544	
281.5	0.23468	
282	0.237122	
282.5	0.237427	
283	0.236816	
283.5	0.236511	
284	0.237732	
284.5	0.238953	
285	0.241089	
285.5	0.242615	
286	0.24231	
286.5	0.24231	
287	0.24353	
287.5	0.245667	
288	0.246887	
288.5	0.247803	
289	0.247498	
289.5	0.247192	
290	0.248108	
290.5	0.25177	
291	0.25177	
291.5	0.25238	
292	0.253296	
292.5	0.25177	
293	0.252075	
293.5	0.252686	
294	0.255737	
294.5	0.257263	
295	0.257874	
295.5	0.257874	
296	0.257263	
296.5	0.257263	
297	0.256653	
297.5	0.258179	
298	0.26123	
298.5	0.262146	
299	0.262146	
299.5	0.262146	
300	0.262756	
300.5	0.262146	
301	0.262146	
301.5	0.263367	
302	0.265198	
302.5	0.267029	
303	0.267334	
303.5	0.266418	
304	0.266418	
304.5	0.267029	
305	0.267029	
