Untitled1.acq
Graph Created on: 2024-11-12 11:02:41.566
Recording on: 2024-11-12 11:03:42.061
0.5 msec/sample
1 channels
ppg - PPG, X, PPGED-R
Volts
milliSec	CH1	
	51309 samples	
301.5	0.594482	
302	0.592957	
302.5	0.591736	
303	0.5896	
303.5	0.587463	
304	0.587158	
304.5	0.586853	
305	0.584717	
305.5	0.582581	
306	0.581665	
306.5	0.579834	
307	0.577393	
307.5	0.576782	
308	0.575256	
308.5	0.573425	
309	0.571289	
309.5	0.570068	
310	0.567932	
310.5	0.567017	
311	0.56488	
311.5	0.562744	
312	0.562134	
312.5	0.560913	
313	0.558167	
313.5	0.556946	
314	0.557556	
314.5	0.55542	
315	0.552979	
315.5	0.552979	
316	0.550842	
316.5	0.548706	
317	0.547791	
317.5	0.54657	
318	0.543213	
318.5	0.542297	
319	0.540771	
319.5	0.538635	
320	0.538635	
320.5	0.537109	
321	0.534058	
321.5	0.531921	
322	0.532227	
322.5	0.529175	
323	0.527344	
323.5	0.527039	
324	0.524292	
324.5	0.523682	
325	0.521545	
325.5	0.518799	
326	0.517883	
326.5	0.516663	
327	0.514221	
327.5	0.513916	
328	0.512085	
328.5	0.509338	
329	0.508423	
329.5	0.506897	
330	0.504761	
330.5	0.502319	
331	0.499573	
331.5	0.498352	
332	0.497437	
332.5	0.49408	
333	0.493469	
333.5	0.492249	
334	0.489502	
334.5	0.488892	
335	0.487061	
335.5	0.484619	
336	0.484619	
336.5	0.482178	
337	0.480042	
337.5	0.47821	
338	0.477905	
338.5	0.474854	
339	0.474548	
339.5	0.472412	
340	0.469666	
340.5	0.46875	
341	0.464783	
341.5	0.464172	
342	0.463562	
342.5	0.46051	
343	0.459595	
343.5	0.457458	
344	0.455627	
344.5	0.453491	
345	0.453186	
345.5	0.450439	
346	0.448608	
346.5	0.445557	
347	0.444641	
347.5	0.44342	
348	0.440979	
348.5	0.439148	
349	0.438843	
349.5	0.435791	
350	0.43457	
350.5	0.433655	
351	0.430908	
351.5	0.429077	
352	0.426025	
352.5	0.424805	
353	0.423889	
353.5	0.421448	
354	0.420227	
354.5	0.419312	
355	0.415344	
355.5	0.415344	
356	0.411377	
356.5	0.409241	
357	0.408936	
357.5	0.406189	
358	0.405579	
358.5	0.404053	
359	0.401611	
359.5	0.399475	
360	0.397034	
360.5	0.394592	
361	0.394287	
361.5	0.392151	
362	0.390015	
362.5	0.387268	
363	0.386047	
363.5	0.384521	
364	0.382385	
364.5	0.380859	
365	0.379944	
365.5	0.376892	
366	0.375366	
366.5	0.37262	
367	0.370789	
367.5	0.370483	
368	0.367126	
368.5	0.365906	
369	0.362549	
369.5	0.360718	
370	0.361328	
370.5	0.357666	
371	0.35553	
371.5	0.353088	
372	0.351257	
372.5	0.350647	
373	0.347595	
373.5	0.346069	
374	0.343323	
374.5	0.341492	
375	0.340881	
375.5	0.33844	
376	0.336914	
376.5	0.332642	
377	0.331421	
377.5	0.331116	
378	0.328064	
378.5	0.326233	
379	0.322571	
379.5	0.321045	
380	0.321045	
380.5	0.318604	
381	0.317078	
381.5	0.313416	
382	0.311279	
382.5	0.308533	
383	0.306396	
383.5	0.306091	
384	0.302734	
384.5	0.302734	
385	0.299072	
385.5	0.297852	
386	0.296631	
386.5	0.293579	
387	0.292053	
387.5	0.288696	
388	0.28717	
388.5	0.284119	
389	0.281982	
389.5	0.281677	
390	0.279541	
390.5	0.2771	
391	0.274658	
391.5	0.272827	
392	0.270386	
392.5	0.267639	
393	0.267334	
393.5	0.263672	
394	0.262756	
394.5	0.26001	
395	0.257568	
395.5	0.256653	
396	0.254211	
396.5	0.253601	
397	0.249939	
397.5	0.248108	
398	0.245056	
398.5	0.243225	
399	0.240784	
399.5	0.237427	
400	0.237427	
400.5	0.235291	
401	0.233459	
401.5	0.230408	
402	0.228271	
402.5	0.22583	
403	0.223999	
403.5	0.223083	
404	0.220337	
404.5	0.218506	
405	0.21637	
405.5	0.214233	
406	0.211182	
406.5	0.209045	
407	0.20813	
407.5	0.205994	
408	0.203552	
408.5	0.201111	
409	0.19928	
409.5	0.196228	
410	0.193787	
410.5	0.19165	
411	0.188904	
411.5	0.188904	
412	0.186157	
412.5	0.183411	
413	0.181885	
413.5	0.179138	
414	0.177307	
414.5	0.174866	
415	0.173645	
415.5	0.171814	
416	0.169678	
416.5	0.166931	
417	0.164795	
417.5	0.161743	
418	0.159912	
418.5	0.157166	
419	0.155334	
419.5	0.155029	
420	0.151978	
420.5	0.150146	
421	0.147095	
421.5	0.144958	
422	0.143127	
422.5	0.140381	
423	0.137634	
423.5	0.135193	
424	0.134888	
424.5	0.132751	
425	0.13031	
425.5	0.127563	
426	0.125427	
426.5	0.122986	
427	0.12085	
427.5	0.119934	
428	0.118408	
428.5	0.115662	
429	0.113831	
429.5	0.110779	
430	0.108337	
430.5	0.106201	
431	0.104065	
431.5	0.101318	
432	0.101013	
432.5	0.098877	
433	0.0961304	
433.5	0.0942993	
434	0.0906372	
434.5	0.0888062	
435	0.0860596	
435.5	0.0842285	
436	0.0811768	
436.5	0.0802612	
437	0.0799561	
437.5	0.0775146	
438	0.0750732	
438.5	0.0723267	
439	0.0698853	
439.5	0.0671387	
440	0.0668335	
440.5	0.0650024	
441	0.0628662	
441.5	0.06073	
442	0.0579834	
442.5	0.0558472	
443	0.0527954	
443.5	0.0506592	
444	0.0473022	
444.5	0.0469971	
445	0.0457764	
445.5	0.043335	
446	0.0402832	
446.5	0.038147	
447	0.0360107	
447.5	0.032959	
448	0.0317383	
448.5	0.0280762	
449	0.0271606	
449.5	0.0259399	
450	0.0231934	
450.5	0.0210571	
451	0.0183105	
451.5	0.0164795	
452	0.0137329	
452.5	0.0109863	
453	0.00823975	
453.5	0.00762939	
454	0.00640869	
454.5	0.00427246	
455	0.00244141	
455.5	-0.000915527	
456	-0.00305176	
456.5	-0.00549316	
457	-0.00793457	
457.5	-0.0109863	
458	-0.0131226	
458.5	-0.015564	
459	-0.017395	
459.5	-0.0180054	
460	-0.0204468	
460.5	-0.0228882	
461	-0.0250244	
461.5	-0.0271606	
462	-0.0308228	
462.5	-0.0320435	
463	-0.0350952	
463.5	-0.0366211	
464	-0.0375366	
464.5	-0.0405884	
465	-0.0421143	
465.5	-0.0454712	
466	-0.0463867	
466.5	-0.0497437	
467	-0.0515747	
467.5	-0.0549316	
468	-0.0561523	
468.5	-0.0567627	
469	-0.0588989	
469.5	-0.0616455	
470	-0.0650024	
470.5	-0.0665283	
471	-0.0695801	
471.5	-0.071106	
472	-0.0741577	
472.5	-0.0765991	
473	-0.0765991	
473.5	-0.0793457	
474	-0.0814819	
474.5	-0.0848389	
475	-0.0854492	
475.5	-0.0894165	
476	-0.0906372	
476.5	-0.0946045	
477	-0.0949097	
477.5	-0.09552	
478	-0.098877	
478.5	-0.100403	
479	-0.103455	
479.5	-0.105591	
480	-0.108337	
480.5	-0.109863	
481	-0.110474	
481.5	-0.11322	
482	-0.114746	
482.5	-0.118713	
483	-0.120239	
483.5	-0.122986	
484	-0.124512	
484.5	-0.124512	
485	-0.128479	
485.5	-0.129395	
486	-0.133057	
486.5	-0.134583	
487	-0.137329	
487.5	-0.13916	
488	-0.139465	
488.5	-0.143127	
489	-0.144043	
489.5	-0.1474	
490	-0.149536	
490.5	-0.152588	
491	-0.154419	
491.5	-0.154724	
492	-0.157776	
492.5	-0.158386	
493	-0.162354	
493.5	-0.163269	
494	-0.164185	
494.5	-0.167542	
495	-0.168762	
495.5	-0.172119	
496	-0.173645	
496.5	-0.173645	
497	-0.177002	
497.5	-0.178833	
498	-0.18158	
498.5	-0.183105	
499	-0.183411	
499.5	-0.187378	
500	-0.187988	
500.5	-0.191956	
501	-0.193481	
501.5	-0.192871	
502	-0.196228	
502.5	-0.198364	
503	-0.201416	
503.5	-0.203247	
504	-0.203552	
504.5	-0.205994	
505	-0.207825	
505.5	-0.211182	
506	-0.212402	
506.5	-0.213623	
507	-0.216064	
507.5	-0.21759	
508	-0.217896	
508.5	-0.220642	
509	-0.222778	
509.5	-0.226135	
510	-0.227661	
510.5	-0.228271	
511	-0.231018	
511.5	-0.233154	
512	-0.235596	
512.5	-0.237427	
513	-0.238037	
513.5	-0.240173	
514	-0.24292	
514.5	-0.242615	
515	-0.245361	
515.5	-0.247803	
516	-0.250244	
516.5	-0.252075	
517	-0.252686	
517.5	-0.255127	
518	-0.257263	
518.5	-0.257874	
519	-0.26001	
519.5	-0.261536	
520	-0.261841	
520.5	-0.264587	
521	-0.266724	
521.5	-0.269775	
522	-0.271606	
522.5	-0.271912	
523	-0.274963	
523.5	-0.276794	
524	-0.277405	
524.5	-0.279846	
525	-0.281982	
525.5	-0.282593	
526	-0.284729	
526.5	-0.28656	
527	-0.286865	
527.5	-0.289917	
528	-0.292053	
528.5	-0.292664	
529	-0.294189	
529.5	-0.296631	
530	-0.297241	
530.5	-0.299377	
531	-0.301514	
531.5	-0.303955	
532	-0.305481	
532.5	-0.307007	
533	-0.308838	
533.5	-0.311584	
534	-0.31189	
534.5	-0.314331	
535	-0.315552	
535.5	-0.316772	
536	-0.318604	
536.5	-0.320435	
537	-0.321655	
537.5	-0.323486	
538	-0.325317	
538.5	-0.326843	
539	-0.328674	
539.5	-0.330811	
540	-0.331116	
540.5	-0.333557	
541	-0.335388	
541.5	-0.336609	
542	-0.338135	
542.5	-0.340271	
543	-0.341187	
543.5	-0.343018	
544	-0.345764	
544.5	-0.346375	
545	-0.3479	
545.5	-0.350342	
546	-0.350647	
546.5	-0.352783	
547	-0.354919	
547.5	-0.355835	
548	-0.35553	
548.5	-0.357361	
549	-0.360413	
549.5	-0.359802	
550	-0.363159	
550.5	-0.364075	
551	-0.365906	
551.5	-0.368042	
552	-0.369568	
552.5	-0.370789	
553	-0.372925	
553.5	-0.374451	
554	-0.375366	
554.5	-0.377197	
555	-0.379944	
555.5	-0.380249	
556	-0.382996	
556.5	-0.384216	
557	-0.385132	
557.5	-0.386658	
558	-0.386658	
558.5	-0.388489	
559	-0.390015	
559.5	-0.391846	
560	-0.394287	
560.5	-0.394897	
561	-0.396729	
561.5	-0.39856	
562	-0.399475	
562.5	-0.399475	
563	-0.401306	
563.5	-0.404358	
564	-0.404968	
564.5	-0.405884	
565	-0.409241	
565.5	-0.410156	
566	-0.411377	
566.5	-0.413818	
567	-0.414429	
567.5	-0.415344	
568	-0.41626	
568.5	-0.419006	
569	-0.419922	
569.5	-0.420532	
570	-0.423584	
570.5	-0.424194	
571	-0.4245	
571.5	-0.424805	
572	-0.428772	
572.5	-0.428772	
573	-0.430603	
573.5	-0.43335	
574	-0.434265	
574.5	-0.43457	
575	-0.434875	
575.5	-0.438232	
576	-0.439758	
576.5	-0.439453	
577	-0.440674	
577.5	-0.443115	
578	-0.444031	
578.5	-0.445251	
579	-0.447388	
579.5	-0.448914	
580	-0.449219	
580.5	-0.450439	
581	-0.453186	
581.5	-0.453491	
582	-0.453796	
582.5	-0.455017	
583	-0.457458	
583.5	-0.458984	
584	-0.458984	
584.5	-0.459595	
585	-0.462341	
585.5	-0.463562	
586	-0.464172	
586.5	-0.464783	
587	-0.467224	
587.5	-0.46814	
588	-0.469055	
588.5	-0.469666	
589	-0.471802	
589.5	-0.473022	
590	-0.473328	
590.5	-0.474243	
591	-0.477295	
591.5	-0.47821	
592	-0.479126	
592.5	-0.479431	
593	-0.481567	
593.5	-0.483398	
594	-0.483398	
594.5	-0.484009	
595	-0.487061	
595.5	-0.487671	
596	-0.488281	
596.5	-0.489197	
597	-0.491943	
597.5	-0.492859	
598	-0.493469	
598.5	-0.49408	
599	-0.497437	
599.5	-0.498352	
600	-0.498657	
